Unnamed: 0,game_id,game_title,month,peak_users,picture_url
673289,730,Counter-Strike: Global Offensive,2020-05-01,1204224,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
691830,570,Dota 2,2020-05-01,789156,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
693028,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2020-05-01,552527,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
584089,105600,Terraria,2020-05-01,486918,https://steamcdn-a.akamaihd.net/steam/apps/105600/logo.png
663274,271590,Grand Theft Auto V,2020-05-01,260562,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
687272,359550,Tom Clancy's Rainbow Six Siege,2020-05-01,146359,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
620728,1100600,Football Manager 2020,2020-05-01,123114,https://steamcdn-a.akamaihd.net/steam/apps/1100600/logo.png
524149,582010,MONSTER HUNTER: WORLD,2020-05-01,106972,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
667261,252490,Rust,2020-05-01,102051,https://steamcdn-a.akamaihd.net/steam/apps/252490/logo.png
691657,346110,ARK: Survival Evolved,2020-05-01,101631,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
673290,730,Counter-Strike: Global Offensive,2020-04-01,1305714,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
693029,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2020-04-01,913075,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691831,570,Dota 2,2020-04-01,801121,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
586305,261550,Mount & Blade II: Bannerlord,2020-04-01,248034,https://steamcdn-a.akamaihd.net/steam/apps/261550/logo.png
663275,271590,Grand Theft Auto V,2020-04-01,243284,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
687273,359550,Tom Clancy's Rainbow Six Siege,2020-04-01,194102,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
524150,582010,MONSTER HUNTER: WORLD,2020-04-01,149860,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
620729,1100600,Football Manager 2020,2020-04-01,146436,https://steamcdn-a.akamaihd.net/steam/apps/1100600/logo.png
679388,477160,Human: Fall Flat,2020-04-01,127516,https://steamcdn-a.akamaihd.net/steam/apps/477160/logo.png
691658,346110,ARK: Survival Evolved,2020-04-01,125636,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
673291,730,Counter-Strike: Global Offensive,2020-03-01,1145972,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
691832,570,Dota 2,2020-03-01,743933,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
693030,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2020-03-01,562028,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
524151,582010,MONSTER HUNTER: WORLD,2020-03-01,219544,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
663276,271590,Grand Theft Auto V,2020-03-01,209493,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
687274,359550,Tom Clancy's Rainbow Six Siege,2020-03-01,198567,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
620730,1100600,Football Manager 2020,2020-03-01,189230,https://steamcdn-a.akamaihd.net/steam/apps/1100600/logo.png
691659,346110,ARK: Survival Evolved,2020-03-01,157355,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
